0,-134,-150,-431,-695,-381,-968,-1180,-1600,-1226,-1685
0,-154,-94,-403,-661,-377,-791,-993,-1383,-900,-1412
0,15,160,-185,-456,-300,-431,-472,-869,-273,-744
0,128,411,41,-254,-260,33,83,-244,405,2
0,201,529,180,-123,-203,252,351,62,686,339
0,327,760,385,107,-86,670,888,552,1275,998
0,478,993,614,335,40,1072,1335,1097,1754,1502
0,569,1126,793,565,179,1359,1625,1458,2112,1864
0,-209,-260,-463,-609,-365,-1049,-1370,-1672,-1530,-1985
0,-176,-162,-377,-508,-333,-830,-1113,-1396,-1103,-1571
0,-83,52,-211,-353,-271,-462,-650,-944,-489,-906
0,50,285,21,-133,-182,-18,-16,-309,278,-93
0,133,445,159,3,-142,265,258,21,574,263
0,216,693,370,193,-90,678,835,648,1203,955
0,475,1019,720,535,151,1195,1435,1268,1811,1605
0,481,1041,771,590,146,1333,1604,1465,2031,1835
0,-312,-474,-453,-316,-214,-1061,-1641,-1456,-2250,-2023
0,-301,-440,-355,-148,-184,-857,-1409,-1181,-1779,-1618
0,-288,-317,-249,-25,-132,-545,-994,-787,-1071,-978
0,-252,-162,-115,108,-105,-177,-396,-214,-302,-200
0,-185,-34,48,278,-34,63,-80,141,124,194
0,0,397,460,696,216,743,794,834,1038,991
0,250,789,834,1064,473,1334,1387,1457,1721,1684
0,547,1301,1086,1229,628,1673,1814,1883,2229,2125
0,-373,-595,-448,-216,-172,-1007,-1451,-1277,-2220,-1768
0,-335,-488,-313,-62,-113,-747,-1356,-983,-1804,-1386
0,-325,-368,-157,163,-26,-465,-925,-576,-1096,-806
0,-275,-235,-47,246,5,-99,-388,-76,-358,-156
0,391,746,947,1271,590,1527,1608,1828,1867,2049
0,-55,46,-154,-188,-229,-369,-490,-679,-286,-593
0,210,521,281,231,-40,462,540,399,863,666
0,-262,-284,-307,-158,-184,-762,-1213,-1098,-1351,-1411
0,204,708,662,782,338,1082,1192,1228,1522,1433
0,-106,65,-78,25,-128,-119,-268,-247,-41,-169
0,-71,190,85,207,-40,124,80,79,318,213
0,-97,-133,-377,-479,-329,-818,-1216,-1391,-1256,-1690
0,329,859,704,730,217,1093,1232,1180,1577,1465
0,-264,-323,-374,-347,-226,-913,-1383,-1385,-1528,-1792
0,291,817,698,756,279,1123,1272,1223,1550,1563
0,-104,-32,-267,-518,-268,-678,-958,-1326,-857,-1325
0,-331,-452,-368,-147,-182,-818,-1344,-1038,-1653,-1443
0,134,470,132,-93,-204,225,326,66,779,450
0,-185,26,143,416,45,204,31,254,168,291
0,154,448,132,-56,-128,147,193,-72,521,179
0,203,640,741,996,479,1208,1285,1421,1584,1681
0,447,1089,871,757,297,1338,1544,1416,2249,1724
0,469,1015,764,527,124,1209,1380,1233,1796,1638
0,23,346,190,137,-60,272,322,162,537,398
0,-219,-198,-289,-331,-266,-742,-1151,-1281,-1153,-1505
0,-41,224,28,11,-144,36,-10,-97,278,67
0,-226,-124,-14,261,-13,5,-137,77,-28,97
0,127,357,126,67,655,142,160,-3,443,179
0,47,330,58,-108,594,160,173,-29,453,191
0,194,457,155,-88,633,155,215,-55,512,156
0,175,510,176,-101,-7,210,304,-33,614,237
0,9,216,-78,-241,-258,-123,-118,-366,170,-143
